project,method_name,class_name,gt_summary,llm_summary,cosine_similarity,bert_precision,bert_recall,bert_f1
jhotdraw,createAlignmentMenu,DrawApplication,This method creates the alignment menu and returns a JMenu. CreateAlignmentMenu() seems less important than average because it is not called by any methods.,"Creates and returns the alignment menu for the drawing application. It is used when building the menu bar, as shown by its use in `addMenuIfPossible(mb, createAlignmentMenu())`.",0.3120131519475074,0.8833257,0.89544064,0.8893419
jhotdraw,getCommand,CommandMenuItem,"This method gets the command and returns a Command. GetCommand() seems less important than average because it is called by 1 method. The method can be used in a procedural statement ; for example: ""getCommand().execute();"".","Returns the command associated with this menu item. Use it when you need to retrieve the `Command` before invoking it, such as calling `getCommand().execute()`.",0.26296201487397924,0.88083106,0.8694276,0.87509215
jhotdraw,getComponent,ComponentFigure,"This method gets the component and returns a Component. GetComponent() seems less important than average because it is called by 1 method. The method can be used in a procedural statement ; for example: ""getComponent().setBounds(displayBox());"".","Returns the underlying `Component` associated with this `ComponentFigure`. Use it when you need to access or configure the wrapped AWT/Swing component directly, as in `getComponent().setBounds(displayBox());`.",0.2717941737154623,0.870593,0.8772681,0.87391776
jhotdraw,createUndoActivity,PolygonScaleHandle,"This method creates the undo activity and returns an Undoable. CreateUndoActivity() seems less important than average because it is called by 1 method. The method can be used in an assignment statement ; for example: ""PolygonScaleHandle.UndoActivity activity=(PolygonScaleHandle.UndoActivity)createUndoActivity(view);"".","Creates an undo activity for a polygon scale handle so the scaling operation can be reversed. It is typically used during editing workflows, as shown by assigning the result to a `PolygonScaleHandle.UndoActivity` when working with a view.",0.31963588101624096,0.88460374,0.8701253,0.8773048
jhotdraw,invokeEnd,TriangleRotationHandle,This method invokes the end. InvokeEnd() seems less important than average because it is not called by any methods.,Ends the current triangle rotation interaction or gesture handling for this handle. Use it when the user finishes adjusting the triangle’s rotation and the operation should be finalized.,0.12246995986347756,0.8462502,0.8502955,0.84826803
jhotdraw,AttributeFigureContentProducer,AttributeFigureContentProducer,This method creates the attribute figure content producer and returns an attributefigurecontentproducer. AttributeFigureContentProducer() seems less important than average because it is not called by any methods.,Creates and returns an `AttributeFigureContentProducer` instance. This is used as a constructor-style factory for producing figure content related to attributes.,0.27318605051818357,0.8924543,0.87703115,0.88467556
jhotdraw,markFontDirty,HTMLTextAreaFigure,"This method marks the font dirty. MarkFontDirty() seems less important than average because it is called by 1 method. The method can be used in a procedural statement ; for example: ""markFontDirty();"".",Marks the text area's font state as dirty so it will be refreshed or recalculated when needed. Use it after changes that affect font rendering or styling.,0.14895523048046652,0.8609264,0.84449327,0.8526307
jhotdraw,setURL,URLContentProducer,"This method sets the URL. SetURL() seems less important than average because it is called by 1 method. The method can be used in a procedural statement ; for example: ""setURL(new URL(dr.readString()));"".",Sets the URL associated with this content producer. Use it when configuring the producer with a specific source URL before it is consumed or processed.,0.20682099348130803,0.86347747,0.8328645,0.8478947
jhotdraw,ZoomDrawingView,ZoomDrawingView,This method creates the zoom drawing view and returns a zoomdrawingview. ZoomDrawingView() seems less important than average because it is not called by any methods.,"Creates and returns a new `ZoomDrawingView` instance, initializing the drawing view component. Use this constructor when you need to instantiate the zoomable drawing view in the application.",0.28942768454086576,0.8923007,0.8913145,0.8918073
jhotdraw,getTypingTarget,TextTool,"This method gets the typing target and returns a TextHolder. GetTypingTarget() seems less important than average because it is called by 5 methods. The method can be used in a procedural statement ; for example: ""return new TextTool.UndoActivity(view(),getTypingTarget().getText());"".",Returns the current typing target associated with this `TextTool`. It is used in conditional checks to determine whether a typing target is available before performing related text-editing logic.,0.23300795742267663,0.87580395,0.84634286,0.8608214
