project,method_id,criterion,presentation,system,slot,rank,points
jajuk,106,accuracy,0,CLAUDE,4,1,4
jajuk,106,accuracy,0,QWEN,2,2,3
jajuk,106,accuracy,0,MISTRAL,3,3,2
jajuk,106,accuracy,0,GPT,1,4,1
jajuk,106,accuracy,1,MISTRAL,2,1,4
jajuk,106,accuracy,1,GPT,4,2,3
jajuk,106,accuracy,1,QWEN,3,3,2
jajuk,106,accuracy,1,CLAUDE,1,4,1
jajuk,106,content,0,CLAUDE,2,1,4
jajuk,106,content,0,GPT,4,2,3
jajuk,106,content,0,MISTRAL,3,3,2
jajuk,106,content,0,QWEN,1,4,1
jajuk,106,content,1,MISTRAL,2,1,4
jajuk,106,content,1,CLAUDE,3,2,3
jajuk,106,content,1,QWEN,4,3,2
jajuk,106,content,1,GPT,1,4,1
jajuk,106,conciseness,0,MISTRAL,3,1,4
jajuk,106,conciseness,0,GPT,4,2,3
jajuk,106,conciseness,0,CLAUDE,2,3,2
jajuk,106,conciseness,0,QWEN,1,4,1
jajuk,106,conciseness,1,MISTRAL,2,1,4
jajuk,106,conciseness,1,CLAUDE,3,2,3
jajuk,106,conciseness,1,QWEN,4,3,2
jajuk,106,conciseness,1,GPT,1,4,1
jajuk,106,what,0,CLAUDE,2,1,4
jajuk,106,what,0,QWEN,3,2,3
jajuk,106,what,0,GPT,4,3,2
jajuk,106,what,0,MISTRAL,1,4,1
jajuk,106,what,1,CLAUDE,3,1,4
jajuk,106,what,1,QWEN,2,2,3
jajuk,106,what,1,GPT,1,3,2
jajuk,106,what,1,MISTRAL,4,4,1
jajuk,106,why,0,GPT,3,1,4
jajuk,106,why,0,CLAUDE,2,2,3
jajuk,106,why,0,QWEN,1,3,2
jajuk,106,why,0,MISTRAL,4,4,1
jajuk,106,why,1,GPT,2,1,4
jajuk,106,why,1,QWEN,4,2,3
jajuk,106,why,1,CLAUDE,3,3,2
jajuk,106,why,1,MISTRAL,1,4,1
jajuk,106,how,0,GPT,4,1,4
jajuk,106,how,0,CLAUDE,2,2,3
jajuk,106,how,0,QWEN,3,3,2
jajuk,106,how,0,MISTRAL,1,4,1
jajuk,106,how,1,GPT,1,1,4
jajuk,106,how,1,QWEN,2,2,3
jajuk,106,how,1,MISTRAL,4,3,2
jajuk,106,how,1,CLAUDE,3,4,1
jajuk,699,accuracy,0,QWEN,2,1,4
jajuk,699,accuracy,0,CLAUDE,1,2,3
jajuk,699,accuracy,0,GPT,4,3,2
jajuk,699,accuracy,0,MISTRAL,3,4,1
jajuk,699,accuracy,1,CLAUDE,4,1,4
jajuk,699,accuracy,1,QWEN,3,2,3
jajuk,699,accuracy,1,MISTRAL,2,3,2
jajuk,699,accuracy,1,GPT,1,4,1
jajuk,699,content,0,CLAUDE,4,1,4
