project,method_name,class_name,gt_summary,llm_summary,cosine_similarity,bert_precision,bert_recall,bert_f1
jEdit,getFlag,Buffer,"This method gets the flag int and returns a boolean. That boolean is used by methods that is the temporary and that saves the view. GetFlag() seems far more important than average because it is called by 10 methods. The method can be used in a procedural statement ; for example: ""return getFlag(TEMPORARY);"".","This method retrieves the state of a specific flag, returning a boolean value indicating whether the flag is set. It is typically used in conditional checks to control program flow, such as verifying if a buffer is untitled before proceeding.",0.28225744109919737,0.8707273,0.85048366,0.8604864
jEdit,getProperty,PropertyManager,This method gets the property and returns a String. GetProperty() seems far more important than average because it is not called by any methods.,"This method retrieves a property value by name from the `PropertyManager` class, intended for use when accessing configuration or metadata properties in a system. It is typically called to fetch a single string value assigned to a variable, as shown in the example.",0.18336945212696748,0.86545074,0.8855398,0.87538004
jEdit,setProperty,PropertyManager,This method sets the property. SetProperty() seems far more important than average because it is not called by any methods.,This method sets a property with the given name to the specified value. It is used procedurally to update or assign property values within the system.,0.24356793499272572,0.8764377,0.87949485,0.8779636
jEdit,getDefaultProperty,PropertyManager,"This method gets the default property and returns a String. That String is used by methods that gets the property and that sets the property. GetDefaultProperty() seems far more important than average because it is called by 3 methods. The method can be used in a procedural statement ; for example: ""else return getDefaultProperty(name);"".",Retrieves the default value of a specified property. This method is typically used when initializing objects or resetting configurations to their default states.,0.21603727356828714,0.87825096,0.84549534,0.86156195
jEdit,getInputHandler,View,This method gets the input handler and returns an InputHandler. That InputHandler is used by methods that handles the pass key event to view and that gets the input handler. GetInputHandler() seems far more important than average because it is called by 5 methods.,"This method retrieves the input handler for the current view, typically used in GUI applications to manage keyboard input and actions. It returns an `InputHandler` instance, which can be assigned to a variable as shown in the usage example.",0.316484994000612,0.87735265,0.8850559,0.88118744
jEdit,invoke,BshMethod,This method invokes the object and returns an Object. Invoke() seems far more important than average because it is not called by any methods.,Invokes the method with the provided arguments and returns the result as an Object. This is typically used within scripting environments like BeanShell to execute a method dynamically.,0.2930381935492513,0.88372195,0.89014834,0.88692355
jEdit,event,JThis,"This method handles the event. Return data is used by some methods that handles the caret update. Return data is used by some methods that handles the vetoable change. Event() seems far more important than average because it is called by 10 methods. The method can be used in a procedural statement ; for example: ""event(""vetoableChange"",e);"".","This method triggers an event with the given name and value, typically used in procedural contexts to notify listeners about state changes or occurrences within the application.",0.20359758514655374,0.8643211,0.8340795,0.8489311
jEdit,BeginToken,JavaCharStream,"This method begins the token and returns a char. That char is used by a method that gets the token. BeginToken() seems far more important than average because it is called by 1 method. The method can be used in an assignment statement ; for example: ""curChar=input_stream.BeginToken();"".",Begins token processing by initializing and returning the first character of the input stream. Typically called at the start of lexical analysis to establish the initial token position.,0.22884840383064933,0.8736557,0.8372571,0.8550692
jEdit,readChar,JavaCharStream,"This method reads the char and returns a char. That char is used by methods that gets the token and that begins the token. ReadChar() seems far more important than average because it is called by 2 methods. The method can be used in a procedural statement ; for example: ""input_stream.readChar();"".","This method reads the next character from the input stream and returns it as a `char`, typically used in lexical analysis or parsing contexts where character-by-character processing is required. It is called by methods handling tokenization or stream processing, ensuring sequential access to input data.",0.2971054540328715,0.8670459,0.86629385,0.86666965
jEdit,getEndColumn,JavaCharStream,"This method gets the end column and returns an int. That int is used by methods that fills the token and that gets the token. GetEndColumn() seems far more important than average because it is called by 3 methods. The method can be used in an assignment statement ; for example: ""int error_column=input_stream.getEndColumn();"".","This method retrieves the end column position of the current token in the Java character stream, typically used during parsing to track token locations in source code. It is called during reinitialization of the input stream to maintain accurate position tracking.",0.26395676358170134,0.862479,0.8438794,0.8530778
jEdit,getEndLine,JavaCharStream,"This method gets the end line and returns an int. That int is used by methods that gets the token and that fills the token. GetEndLine() seems far more important than average because it is called by 3 methods. The method can be used in an assignment statement ; for example: ""int error_line=input_stream.getEndLine();"".","This method retrieves the end line number of the current token in a Java character stream, typically used in lexer implementations to track token positions for parsing or error reporting. It is called by methods managing input streams, such as `ReInit`, to maintain state during token processing.",0.2837353429098212,0.86561835,0.85414505,0.85984343
jEdit,backup,JavaCharStream,"This method backups the int. Return data is used by a method that reads the char. Return data is used by a method that gets the token. Backup() seems far more important than average because it is called by 3 methods. The method can be used in a procedural statement ; for example: ""if (jjmatchedPos + 1 < curPos) input_stream.backup(curPos - jjmatchedPos - 1);"".",This method backs up the current state of the `JavaCharStream` by saving the current value of the character stream. It is typically used internally to preserve the stream position before performing lookahead or other operations.,0.2951307869809878,0.86541104,0.83078474,0.84774446
jEdit,GetImage,JavaCharStream,"This method gets the image and returns a String. That String is used by methods that fills the token and that gets the token. GetImage() seems far more important than average because it is called by 2 methods. The method can be used in an assignment statement ; for example: ""error_after=curPos <= 1 ? """" : input_stream.GetImage();"".","This method retrieves the current image from the input stream, returning it as a string; it is typically used when processing input where the image may be pre-assigned or needs to be fetched dynamically.",0.2731298435487752,0.8814631,0.8425831,0.8615847
jEdit,getNode,NameSpace,"This method gets the node and returns a SimpleNode. That SimpleNode is used by methods that gets the script stack trace and that gets the node. GetNode() seems far more important than average because it is called by 4 methods. The method can be used in an assignment statement ; for example: ""if (parent != null) return parent.getNode();"".","Retrieves a `SimpleNode` instance, typically used to access or fetch a specific node within a namespace context. This method is primarily utilized for assignment operations where a node reference is needed.",0.1873068023751162,0.872095,0.8470954,0.85941344
jEdit,getMethod,NameSpace,This method gets the method and returns a BshMethod. GetMethod() seems far more important than average because it is not called by any methods.,"This method retrieves a `BshMethod` from the namespace by name, intended for resolving method references in BeanShell scripts or similar dynamic contexts. It is typically used when assigning or accessing methods dynamically within the interpreter.",0.23874202861704627,0.8548627,0.886894,0.8705838
jEdit,getToken,Parser,"This method gets the token and returns a Token. That Token is used by methods that jjtrees the open node scope and that jjtrees the close node scope. GetToken() seems far more important than average because it is called by 5 methods. The method can be used in an assignment statement ; for example: ""((SimpleNode)n).lastToken=getToken(0);"".","This method retrieves the token at a specified position in the parsed input, primarily used during AST construction or traversal to access specific lexical tokens. It is typically called when assigning or referencing tokens in nodes of the abstract syntax tree.",0.22998362377699738,0.85806805,0.83253473,0.84510857
jEdit,jjFillToken,ParserTokenManager,"This method fills the token and returns a Token. That Token is used by some methods that gets the token. JjFillToken() seems far more important than average because it is called by 1 method. The method can be used in an assignment statement ; for example: ""matchedToken=jjFillToken();"".","This method initializes and returns a new `Token` object, typically used in parser implementations to populate token instances during lexical analysis. It is called once in the codebase, likely within a token stream processing context.",0.35961994994330504,0.8680911,0.860506,0.8642819
jEdit,getNextToken,ParserTokenManager,"This method gets the token and returns a Token. That Token is used by methods that gets the token and that gets the token. GetNextToken() seems far more important than average because it is called by 2 methods. The method can be used in an assignment statement ; for example: ""else t=t.next=token_source.getNextToken();"".","This method retrieves the next token in the parsing process, advancing the parser's position. It is used internally by the `ParserTokenManager` class to sequentially process input tokens during parsing operations.",0.32423211843260397,0.86286294,0.84625286,0.8544772
jEdit,getSourceFile,SimpleNode,This method gets the source file and returns a String. That String is used by methods that gets the source file and that converts the string. Return data is used by some methods that gets the source file. Return data is used by some methods that converts the string. GetSourceFile() seems far more important than average because it is called by 5 methods.,"This method retrieves the source file associated with the node, returning the parent's source file if the current node's source file is null and a parent exists. It is conditionally used to traverse up the node hierarchy when resolving file references.",0.33859550338421524,0.8595467,0.858017,0.8587812
jEdit,getLineCount,JEditBuffer,"This method gets the line count and returns an int. That int is used by methods that gets the visible line int - and that expands the fold. GetLineCount() seems far more important than average because it is called by 10 methods. The method can be used in an assignment statement ; for example: ""if (line < 0 || line >= buffer.getLineCount()) throw new ArrayIndexOutOfBoundsException(line);"".",Returns the total number of lines in the buffer. This method is typically used to validate line indices before accessing buffer content.,0.28930535918025124,0.8934413,0.8252036,0.85796785
jEdit,getLineStartOffset,JEditBuffer,"This method gets the line start offset and returns an int. That int is used by methods that gets the line length and that gets the line start offset. GetLineStartOffset() seems far more important than average because it is called by 10 methods. The method can be used in a procedural statement ; for example: ""return buffer.getLineStartOffset(line);"".",Returns the starting character offset of the specified line in the buffer. Used internally to calculate text positions or segment lengths within a line.,0.303430320526979,0.8758905,0.8414576,0.8583289
jEdit,getLineCount,LineManager,"This method gets the line count and returns an int. That int is used by methods that gets the line count and that gets the line start offset. GetLineCount() seems far more important than average because it is called by 8 methods. The method can be used in an assignment statement ; for example: ""if (line < 0 || line >= lineMgr.getLineCount()) throw new ArrayIndexOutOfBoundsException(line);"".",This method retrieves the total number of lines managed by the `LineManager`. It is intended to be used when needing to know the size or extent of the managed lines.,0.20265734245737133,0.87877107,0.8276299,0.85243416
jEdit,invoke,BshMethod,This method invokes the object and returns an Object. Invoke() seems far more important than average because it is not called by any methods.,Invokes a method with the given parameters and returns the resulting value. This is used internally within the BeanShell interpreter to execute method calls.,0.22674062163499906,0.8850739,0.87980586,0.88243204
jEdit,getMethod,NameSpace,This method gets the method and returns a BshMethod. GetMethod() seems far more important than average because it is not called by any methods.,"This method retrieves a `BshMethod` instance from the namespace based on the given method name and signature, primarily used for procedural method lookups in BeanShell scripting. It is called with parameters like `getMethod(name, sig, false)` to fetch the method without forcing access checks.",0.30369022074155516,0.8557182,0.89670193,0.87573075
jEdit,getSourceFile,SimpleNode,This method gets the source file and returns a String. That String is used by methods that gets the source file and that converts the string. Return data is used by some methods that gets the source file. Return data is used by some methods that converts the string. GetSourceFile() seems far more important than average because it is called by 5 methods.,"This method retrieves the source file associated with the node, returning it as a `String`. It is likely used in contexts where file references need to be resolved or displayed.",0.2846324454800337,0.87511003,0.8628175,0.86892027
jajuk,popupMenuCanceled,DropDownButton,This method handles the popup menu canceled. PopupMenuCanceled() seems less important than average because it is not called by any methods.,"This method is invoked when a popup menu is canceled, typically used in UI components to handle user interactions where a dropdown menu is dismissed without selection.",0.21626827927811004,0.8804593,0.8816802,0.88106924
jajuk,getGenre,AudioObject,This method gets the genre and returns a String. GetGenre() seems less important than average because it is not called by any methods.,This method retrieves the genre of an audio object. It is likely used in media applications to access or display the genre metadata of audio files.,0.17518058892001853,0.8700914,0.8649437,0.8675099
jajuk,setImage,ContextListener,This method sets the image. SetImage() seems less important than average because it is called by 4 methods.,"Sets an image in the context listener, typically used during application startup or configuration updates to initialize or modify the application's visual representation.",0.10073778549139971,0.85637015,0.86486596,0.86059713
jajuk,getArtistSimilarCacheDir,LastFmCache,"This method gets the artist similar cache dir and returns a File. GetArtistSimilarCacheDir() seems less important than average because it is called by 2 methods. The method can be used in an assignment statement ; for example: ""File artistSimilarCacheDirFile=getArtistSimilarCacheDir();"".","This method retrieves the directory path used to cache similar artists from Last.fm, typically for organizing or cleaning cached data in file operations. It is used in contexts where cached artist similarity data needs to be accessed or managed, such as in cleanup routines.",0.23482121445960055,0.85219246,0.8461747,0.84917295
jajuk,getFileNameForArtistInfo,LastFmCache,"This method gets the file name (NM) and returns a String. GetFileNameForArtistInfo() seems less important than average because it is called by 2 methods. The method can be used in a procedural statement ; for example: ""return UtilString.concat(albumListCacheDirFile.getAbsolutePath(),File.separator,getFileNameForArtistInfo(artist));"".",Generates a standardized filename for artist information cache entries by combining the cache directory path with a unique identifier derived from the artist's name. This method is typically used internally when storing or retrieving artist data from the Last.fm cache system.,0.19330183311369645,0.8551842,0.81838953,0.8363824
jajuk,handleDirectories,Collection,"This method handles the directories. HandleDirectories() seems less important than average because it is called by 1 method. The method can be used in a procedural statement ; for example: ""handleDirectories(attributes,idIndex);"".",This method processes and organizes directories based on provided attributes and an index identifier. It is typically called with directory attributes and an index to manage directory operations within a collection context.,0.14009563506646688,0.86739385,0.8533909,0.8603354
jajuk,GenreManager,GenreManager,This method creates the genre manager and returns a genremanager. GenreManager() seems less important than average because it is not called by any methods.,"Creates and returns a new `GenreManager` instance, typically used to manage genre-related operations in a media or content management system.",0.16282950792254108,0.86900806,0.8766782,0.87282634
jajuk,getType,PropertyMetaInformation,"This method gets the type and returns a Class<?> GetType() seems less important than average because it is called by 4 methods. The method can be used in an assignment statement ; for example: ""bCellEditable[iRow][iNumberStandardCols + i]=!(meta.getType().equals(Date.class));"".",This method retrieves the type of a property as a `Class<?>` object. It is typically used in reflection-based operations to inspect property metadata.,0.22251834513164553,0.8807172,0.8314548,0.8553773
