project,method_name,class_name,gt_summary,llm_summary,cosine_similarity,bert_precision,bert_recall,bert_f1
jEdit,getFlag,Buffer,"This method gets the flag int and returns a boolean. That boolean is used by methods that is the temporary and that saves the view. GetFlag() seems far more important than average because it is called by 10 methods. The method can be used in a procedural statement ; for example: ""return getFlag(TEMPORARY);"".","Retrieves the boolean state of a specific flag within the buffer. It is typically used in conditional checks to alter control flow, such as returning early if the buffer is untitled.",0.26515762980615276,0.85934323,0.8407211,0.84993017
jEdit,getProperty,PropertyManager,This method gets the property and returns a String. GetProperty() seems far more important than average because it is not called by any methods.,Retrieves the value of a specified property as a string. It is typically used in assignment statements to store the fetched value in a variable.,0.13669311239264034,0.87255365,0.8638492,0.8681796
jEdit,setProperty,PropertyManager,This method sets the property. SetProperty() seems far more important than average because it is not called by any methods.,"Sets a system property to a specified value using the provided name and value parameters. This method is used procedurally to configure system settings, such as by calling `system.setProperty(name, value)`.",0.1558942990560694,0.8571271,0.8814153,0.8691016
jEdit,getDefaultProperty,PropertyManager,"This method gets the default property and returns a String. That String is used by methods that gets the property and that sets the property. GetDefaultProperty() seems far more important than average because it is called by 3 methods. The method can be used in a procedural statement ; for example: ""else return getDefaultProperty(name);"".",Retrieves the default string value for a specified property. It is used to fetch and return default property configurations by name.,0.409654266796504,0.88404,0.84570163,0.864446
jEdit,getInputHandler,View,This method gets the input handler and returns an InputHandler. That InputHandler is used by methods that handles the pass key event to view and that gets the input handler. GetInputHandler() seems far more important than average because it is called by 5 methods.,Retrieves the input handler associated with this view. It is typically used to obtain the current handler when assigning it to a new default input handler.,0.3340387789682547,0.8894785,0.86795145,0.87858313
jEdit,invoke,BshMethod,This method invokes the object and returns an Object. Invoke() seems far more important than average because it is not called by any methods.,Invokes the BeanShell method encapsulated by this instance and returns its resulting value. It is typically used to dynamically execute scripted methods programmatically from Java code or within the scripting environment.,0.23534834648841074,0.86021173,0.87484944,0.86746883
jEdit,event,JThis,"This method handles the event. Return data is used by some methods that handles the caret update. Return data is used by some methods that handles the vetoable change. Event() seems far more important than average because it is called by 10 methods. The method can be used in a procedural statement ; for example: ""event(""vetoableChange"",e);"".","The `event` method triggers a named event by passing an event name and an associated event object. It is typically used to dispatch specific lifecycle or state-change notifications, such as ""ancestorAdded"", to registered listeners.",0.257125523111771,0.85061383,0.8385834,0.84455574
jEdit,BeginToken,JavaCharStream,"This method begins the token and returns a char. That char is used by a method that gets the token. BeginToken() seems far more important than average because it is called by 1 method. The method can be used in an assignment statement ; for example: ""curChar=input_stream.BeginToken();"".",Begins a new token and returns its first character. It is typically used to assign the initial character to a current character variable during lexical analysis.,0.1545369748357559,0.8737338,0.8478961,0.8606211
jEdit,readChar,JavaCharStream,"This method reads the char and returns a char. That char is used by methods that gets the token and that begins the token. ReadChar() seems far more important than average because it is called by 2 methods. The method can be used in a procedural statement ; for example: ""input_stream.readChar();"".",Reads and returns the next character from the character stream. It is used procedurally to sequentially fetch characters during lexical analysis or parsing.,0.2148988238908097,0.8719059,0.845104,0.85829574
jEdit,getEndColumn,JavaCharStream,"This method gets the end column and returns an int. That int is used by methods that fills the token and that gets the token. GetEndColumn() seems far more important than average because it is called by 3 methods. The method can be used in an assignment statement ; for example: ""int error_column=input_stream.getEndColumn();"".",Retrieves the ending column number of the current token in the character stream. This value is typically used to preserve the cursor position when reinitializing the input stream.,0.2757652190014357,0.86456895,0.83311254,0.8485493
jEdit,getEndLine,JavaCharStream,"This method gets the end line and returns an int. That int is used by methods that gets the token and that fills the token. GetEndLine() seems far more important than average because it is called by 3 methods. The method can be used in an assignment statement ; for example: ""int error_line=input_stream.getEndLine();"".",Retrieves the current end line number of the character stream. This value is typically used to reinitialize the input stream while preserving the current line and column positions.,0.25101946653813173,0.8652269,0.8327684,0.8486874
jEdit,backup,JavaCharStream,"This method backups the int. Return data is used by a method that reads the char. Return data is used by a method that gets the token. Backup() seems far more important than average because it is called by 3 methods. The method can be used in a procedural statement ; for example: ""if (jjmatchedPos + 1 < curPos) input_stream.backup(curPos - jjmatchedPos - 1);"".",The `backup` method moves the character stream pointer backward by a specified number of values to un-read previously consumed input. It is used during lexical analysis to adjust the stream position when recovering from invalid tokens or performing lookahead.,0.2498244446392451,0.8548174,0.83217514,0.84334433
jEdit,GetImage,JavaCharStream,"This method gets the image and returns a String. That String is used by methods that fills the token and that gets the token. GetImage() seems far more important than average because it is called by 2 methods. The method can be used in an assignment statement ; for example: ""error_after=curPos <= 1 ? """" : input_stream.GetImage();"".",Retrieves the string image of the current token from the character input stream. It is typically used to populate the image field of a token object during lexical analysis.,0.30457492724452584,0.87378705,0.83081824,0.85176104
