comparison,llm_source_file,design_pattern,sample_count,avg_points_a,avg_points_b,avg_points_c,most_frequent_winner,winner_share,accuracy_a_1st,accuracy_a_2nd,accuracy_a_3rd,accuracy_b_1st,accuracy_b_2nd,accuracy_b_3rd,accuracy_c_1st,accuracy_c_2nd,accuracy_c_3rd,conciseness_a_1st,conciseness_a_2nd,conciseness_a_3rd,conciseness_b_1st,conciseness_b_2nd,conciseness_b_3rd,conciseness_c_1st,conciseness_c_2nd,conciseness_c_3rd,adequacy_a_1st,adequacy_a_2nd,adequacy_a_3rd,adequacy_b_1st,adequacy_b_2nd,adequacy_b_3rd,adequacy_c_1st,adequacy_c_2nd,adequacy_c_3rd,code_context_a_1st,code_context_a_2nd,code_context_a_3rd,code_context_b_1st,code_context_b_2nd,code_context_b_3rd,code_context_c_1st,code_context_c_2nd,code_context_c_3rd,design_patterns_a_1st,design_patterns_a_2nd,design_patterns_a_3rd,design_patterns_b_1st,design_patterns_b_2nd,design_patterns_b_3rd,design_patterns_c_1st,design_patterns_c_2nd,design_patterns_c_3rd,rank_order
QWEN,LLM_QWEN_SUMMARY.csv,Abstract Factory,38,2.2500000000000004,2.2986842105263157,1.4513157894736841,NLG,0.4474,18,11,9,15,22,1,5,5,28,16,11,6,14,12,7,3,10,20,31,0,7,3,33,2,4,5,29,18,10,10,14,23,1,6,5,27,10,18,10,21,17,0,7,3,28,B>A>C
QWEN,LLM_QWEN_SUMMARY.csv,Visitor,24,2.0416666666666665,2.3000000000000003,1.6583333333333332,QWEN,0.4167,8,5,11,12,11,1,4,8,12,6,6,12,10,9,5,8,9,7,21,0,3,1,21,2,2,3,19,12,4,8,8,15,1,4,5,15,3,10,11,15,8,1,6,6,12,B>A>C
QWEN,LLM_QWEN_SUMMARY.csv,Facade,16,2.5,2.25,1.25,NLG,0.5,10,4,2,6,10,0,0,2,14,5,4,7,6,4,6,5,8,3,16,0,0,0,16,0,0,0,16,12,4,0,4,12,0,0,0,16,6,10,0,10,6,0,0,0,16,A>B>C
QWEN,LLM_QWEN_SUMMARY.csv,Factory Method,16,2.375,2.4000000000000004,1.2249999999999999,QWEN,0.5,8,6,2,8,8,0,0,2,14,5,5,6,6,9,1,5,2,9,15,1,0,1,15,0,0,0,16,11,4,1,5,11,0,0,1,15,3,10,3,13,3,0,0,3,13,B>A>C
QWEN,LLM_QWEN_SUMMARY.csv,Observer,13,2.0461538461538455,2.6153846153846154,1.3384615384615386,QWEN,0.9231,2,7,4,11,2,0,0,4,9,2,4,7,10,1,2,1,8,4,9,3,1,4,9,0,0,1,12,7,3,3,6,7,0,0,3,10,2,7,4,11,2,0,0,4,9,B>A>C
QWEN,LLM_QWEN_SUMMARY.csv,Adapter,12,2.683333333333333,2.0,1.3166666666666664,NLG,0.8333,9,2,1,3,7,2,0,3,9,8,2,2,1,6,5,3,4,5,12,0,0,0,10,2,0,2,10,10,1,1,2,9,1,0,2,10,6,6,0,6,4,2,0,2,10,A>B>C
QWEN,LLM_QWEN_SUMMARY.csv,Decorator,12,2.183333333333333,2.266666666666666,1.55,QWEN,0.4167,7,1,4,5,6,1,0,5,7,4,1,7,5,4,3,3,7,2,11,0,1,1,10,1,0,2,10,10,0,2,2,9,1,0,3,9,1,3,8,10,1,1,1,8,3,B>A>C
QWEN,LLM_QWEN_SUMMARY.csv,Singleton,10,2.46,2.42,1.1199999999999999,NLG,0.5,6,3,1,4,6,0,0,1,9,6,3,1,4,4,2,0,3,7,10,0,0,0,10,0,0,0,10,5,4,1,5,5,0,0,1,9,0,9,1,10,0,0,0,1,9,A>B>C
QWEN,LLM_QWEN_SUMMARY.csv,Memento,9,2.0888888888888886,2.4444444444444446,1.4666666666666666,QWEN,0.5556,2,3,4,7,2,0,0,4,5,3,1,5,3,5,1,3,3,3,7,0,2,2,7,0,0,2,7,7,0,2,2,7,0,0,2,7,2,3,4,7,2,0,0,4,5,B>A>C
GPT,LLM_GPT_SUMMARY.csv,Abstract Factory,38,2.1631578947368424,2.3315789473684214,1.5052631578947369,NLG,0.5,15,11,12,18,20,0,5,7,26,10,13,9,18,8,6,4,11,17,30,1,7,5,32,1,3,5,30,20,5,13,11,27,0,7,6,25,13,13,12,17,21,0,8,4,26,B>A>C
GPT,LLM_GPT_SUMMARY.csv,Visitor,24,2.108333333333333,2.2895833333333333,1.6020833333333335,GPT,0.4583,7,4,13,14,8,2,3,12,9,12,2,10,7,10,7,5,12,7,19,0,5,3,20,1,2,4,18,12,3,9,9,14,1,3,7,14,6,10,7,14,8,1,3,5,15,B>A>C
GPT,LLM_GPT_SUMMARY.csv,Facade,16,2.5375,2.2875,1.1749999999999998,NLG,0.5625,7,8,1,9,7,0,0,1,15,9,6,1,5,2,9,2,8,6,13,3,0,3,13,0,0,0,16,12,3,1,4,12,0,0,1,15,5,11,0,11,5,0,0,0,16,A>B>C
GPT,LLM_GPT_SUMMARY.csv,Factory Method,16,2.2625,2.425,1.3125,GPT,0.5,7,4,5,9,7,0,0,5,11,4,6,6,10,4,2,2,6,8,14,0,2,2,14,0,0,2,14,11,2,3,4,12,0,1,2,13,4,9,3,11,5,0,1,2,13,B>A>C
GPT,LLM_GPT_SUMMARY.csv,Observer,13,1.9538461538461542,2.5846153846153843,1.4615384615384615,GPT,0.6154,3,4,6,10,3,0,0,6,7,4,1,8,9,1,3,0,11,2,7,2,4,6,7,0,0,4,9,7,2,4,6,7,0,0,4,9,3,5,5,10,3,0,0,5,8,B>A>C
GPT,LLM_GPT_SUMMARY.csv,Adapter,12,2.4499999999999997,2.2500000000000004,1.2999999999999998,NLG,0.6667,8,2,2,4,8,0,0,2,10,5,1,6,3,6,3,4,5,3,11,0,1,1,11,0,0,1,11,8,3,1,4,8,0,0,1,11,6,5,1,6,6,0,0,1,11,A>B>C
GPT,LLM_GPT_SUMMARY.csv,Decorator,12,2.0666666666666664,2.45,1.4833333333333334,GPT,0.5833,4,4,4,8,3,1,0,5,7,3,2,7,7,3,2,2,7,3,10,0,2,2,10,0,0,2,10,7,1,4,5,7,0,0,4,8,3,3,6,8,4,0,1,5,6,B>A>C
GPT,LLM_GPT_SUMMARY.csv,Singleton,10,2.4199999999999995,2.4,1.18,NLG,0.4,4,4,2,6,4,0,0,2,8,6,3,1,4,3,3,0,4,6,9,1,0,1,9,0,0,0,10,7,2,1,3,7,0,0,1,9,1,7,2,9,1,0,0,2,8,A>B>C
GPT,LLM_GPT_SUMMARY.csv,Memento,9,2.1555555555555554,2.488888888888889,1.3555555555555556,GPT,0.6667,3,2,4,6,3,0,0,4,5,4,2,3,5,1,3,0,6,3,6,2,1,3,6,0,0,1,8,6,2,1,3,6,0,0,1,8,1,4,4,8,1,0,0,4,5,B>A>C
CLAUDE,LLM_CLAUDE_SUMMARY.csv,Abstract Factory,38,2.313157894736842,2.2592105263157896,1.4276315789473684,NLG,0.5526,22,6,10,9,29,0,7,3,28,17,14,3,15,10,9,2,10,22,33,1,4,3,33,2,2,4,32,19,9,10,12,25,1,7,4,27,8,20,10,22,16,0,8,2,28,A>B>C
CLAUDE,LLM_CLAUDE_SUMMARY.csv,Visitor,24,2.3083333333333336,2.2083333333333335,1.4833333333333334,NLG,0.5,10,7,7,10,14,0,4,3,17,11,10,3,7,8,9,6,6,12,22,0,2,0,23,1,2,1,21,15,1,8,5,18,1,4,5,15,6,11,7,15,8,1,3,5,16,A>B>C
CLAUDE,LLM_CLAUDE_SUMMARY.csv,Facade,16,2.6625,2.2375,1.1,NLG,0.875,12,4,0,4,12,0,0,0,16,8,7,1,7,3,6,1,6,9,16,0,0,0,16,0,0,0,16,15,1,0,1,15,0,0,0,16,3,13,0,13,3,0,0,0,16,A>B>C
CLAUDE,LLM_CLAUDE_SUMMARY.csv,Factory Method,16,2.4749999999999996,2.425,1.1,CLAUDE,0.5,7,9,0,9,7,0,0,0,16,7,8,1,7,6,3,2,2,12,15,1,0,1,15,0,0,0,16,11,5,0,5,11,0,0,0,16,1,13,2,15,1,0,0,2,14,A>B>C
CLAUDE,LLM_CLAUDE_SUMMARY.csv,Observer,13,2.2,2.5538461538461537,1.2461538461538462,CLAUDE,0.6154,2,7,4,11,2,0,0,4,9,3,5,5,9,1,3,1,7,5,10,3,0,3,10,0,0,0,13,8,4,1,5,8,0,0,1,12,2,9,2,11,2,0,0,2,11,B>A>C
CLAUDE,LLM_CLAUDE_SUMMARY.csv,Adapter,12,2.6833333333333336,2.2166666666666663,1.0999999999999999,NLG,0.9167,9,3,0,3,9,0,0,0,12,10,1,1,1,8,3,1,3,8,12,0,0,0,12,0,0,0,12,10,1,1,2,10,0,0,1,11,2,10,0,10,2,0,0,0,12,A>B>C
CLAUDE,LLM_CLAUDE_SUMMARY.csv,Decorator,12,2.3666666666666667,2.3333333333333335,1.3,NLG,0.5,6,3,3,6,6,0,0,3,9,4,2,6,5,4,3,3,6,3,12,0,0,0,12,0,0,0,12,11,1,0,1,11,0,0,0,12,1,8,3,11,1,0,0,3,9,A>B>C
CLAUDE,LLM_CLAUDE_SUMMARY.csv,Singleton,10,2.6000000000000005,2.36,1.0399999999999998,NLG,0.8,7,3,0,3,7,0,0,0,10,7,3,0,3,5,2,0,2,8,10,0,0,0,10,0,0,0,10,4,6,0,6,4,0,0,0,10,2,8,0,8,2,0,0,0,10,A>B>C
CLAUDE,LLM_CLAUDE_SUMMARY.csv,Memento,9,2.2222222222222223,2.488888888888889,1.2888888888888888,CLAUDE,0.6667,4,3,2,5,4,0,0,2,7,4,1,4,4,4,1,1,4,4,9,0,0,0,9,0,0,0,9,2,4,3,7,2,0,0,3,6,2,5,2,7,2,0,0,2,7,B>A>C
MISTRAL,LLM_MISTRAL_SUMMARY.csv,Abstract Factory,38,2.3105263157894735,2.255263157894737,1.4342105263157894,NLG,0.4211,18,9,11,13,25,0,7,4,27,18,11,3,12,12,8,2,9,21,35,0,3,0,36,2,3,2,33,19,8,11,12,26,0,7,4,27,9,19,10,22,16,0,7,3,28,A>B>C
MISTRAL,LLM_MISTRAL_SUMMARY.csv,Visitor,24,2.141666666666667,2.2916666666666665,1.5666666666666664,MISTRAL,0.375,9,4,11,12,12,0,3,8,13,10,4,10,7,11,6,7,9,8,21,0,3,1,23,0,2,1,21,15,3,6,6,18,0,3,3,18,4,8,12,16,7,1,4,9,11,B>A>C
MISTRAL,LLM_MISTRAL_SUMMARY.csv,Facade,16,2.5,2.2750000000000004,1.2249999999999999,NLG,0.6875,10,5,1,6,10,0,0,1,15,7,3,6,4,6,6,5,7,4,14,2,0,2,14,0,0,0,16,12,4,0,4,12,0,0,0,16,4,12,0,12,4,0,0,0,16,A>B>C
